customer_id,customer_name,email_address,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Card Type,Earned Point,Geography_France,Geography_Germany,Geography_Spain
CUST1026,Elihu Cardenas,elihu.ca@gmail.com,643,0,77,9,21098.85,2,1,1,193429.68,1,5,4,966,True,False,True
CUST1027,Sergio Martinez,sergio19959@gmail.com,735,1,77,6,21098.85,4,1,0,193429.68,0,5,1,922,False,False,True
CUST1028,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,541,0,77,6,21098.85,3,1,0,193429.68,1,3,4,919,False,False,True
CUST1029,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,793,1,62,10,21098.85,1,1,1,193429.68,1,4,1,755,False,True,False
CUST1030,Elihu Cardenas,elihu.ca@gmail.com,626,0,58,8,21098.85,2,0,0,193429.68,0,1,4,368,True,False,False
CUST1031,Sergio Martinez,sergio19959@gmail.com,510,1,46,9,21098.85,1,1,0,193429.68,0,5,4,469,True,True,True
CUST1032,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,809,0,32,9,21098.85,1,0,1,193429.68,0,5,2,735,False,False,False
CUST1033,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,663,0,62,2,21098.85,3,0,0,193429.68,0,1,4,205,True,False,True
CUST1034,Elihu Cardenas,elihu.ca@gmail.com,371,1,18,6,21098.85,2,1,0,193429.68,1,5,2,769,True,False,True
CUST1035,Sergio Martinez,sergio19959@gmail.com,602,0,42,0,21098.85,4,0,1,193429.68,1,3,4,758,False,True,True
CUST1036,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,585,1,24,3,21098.85,4,0,1,193429.68,1,4,3,756,False,False,False
CUST1037,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,694,1,26,3,21098.85,3,0,0,193429.68,1,1,3,219,True,False,False
CUST1038,Elihu Cardenas,elihu.ca@gmail.com,398,1,41,4,21098.85,3,1,0,193429.68,1,4,3,930,True,False,True
CUST1039,Sergio Martinez,sergio19959@gmail.com,824,1,18,6,21098.85,2,1,1,193429.68,1,5,4,886,True,False,True
CUST1040,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,408,1,61,6,21098.85,4,0,1,193429.68,0,5,2,703,False,True,True
CUST1041,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,519,1,25,10,21098.85,4,1,1,193429.68,1,1,2,157,False,False,True
CUST1042,Elihu Cardenas,elihu.ca@gmail.com,825,1,41,3,21098.85,4,1,1,193429.68,0,3,4,445,False,True,False
CUST1043,Sergio Martinez,sergio19959@gmail.com,537,1,28,6,21098.85,1,1,0,193429.68,0,2,3,840,False,True,False
CUST1044,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,813,1,68,10,21098.85,4,1,1,193429.68,1,1,3,573,True,True,True
CUST1045,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,620,1,34,2,21098.85,1,0,1,193429.68,0,2,2,216,False,True,True
CUST1046,Elihu Cardenas,elihu.ca@gmail.com,539,1,25,5,21098.85,2,0,0,193429.68,1,2,3,929,False,True,False
CUST1047,Sergio Martinez,sergio19959@gmail.com,795,0,52,1,21098.85,1,1,1,193429.68,0,3,1,890,False,True,False
CUST1048,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,524,0,52,9,21098.85,2,1,0,193429.68,1,2,2,226,False,False,True
CUST1049,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,795,1,50,8,21098.85,4,0,1,193429.68,0,2,3,492,False,True,True
